Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
CAMS+PVGIS(temp placeholder),ghardaia,Ghardaia,-,Algeria,32.5873,3.7314,0,549
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2023,1,1,0,0,0.0,0.0,0.0,6.2,2.82
2023,1,1,0,15,0.0,0.0,0.0,6.2,2.82
2023,1,1,0,30,0.0,0.0,0.0,6.2,2.82
2023,1,1,0,45,0.0,0.0,0.0,6.2,2.82
2023,1,1,1,0,0.0,0.0,0.0,5.5,3.01
2023,1,1,1,15,0.0,0.0,0.0,5.5,3.01
2023,1,1,1,30,0.0,0.0,0.0,5.5,3.01
2023,1,1,1,45,0.0,0.0,0.0,5.5,3.01
2023,1,1,2,0,0.0,0.0,0.0,4.8,3.21
2023,1,1,2,15,0.0,0.0,0.0,4.8,3.21
2023,1,1,2,30,0.0,0.0,0.0,4.8,3.21
2023,1,1,2,45,0.0,0.0,0.0,4.8,3.21
2023,1,1,3,0,0.0,0.0,0.0,4.1,3.4
2023,1,1,3,15,0.0,0.0,0.0,4.1,3.4
2023,1,1,3,30,0.0,0.0,0.0,4.1,3.4
2023,1,1,3,45,0.0,0.0,0.0,4.1,3.4
2023,1,1,4,0,0.0,0.0,0.0,3.4,3.59
2023,1,1,4,15,0.0,0.0,0.0,3.4,3.59
2023,1,1,4,30,0.0,0.0,0.0,3.4,3.59
2023,1,1,4,45,0.0,0.0,0.0,3.4,3.59
2023,1,1,5,0,0.0,0.0,0.0,2.7,3.78
2023,1,1,5,15,0.0,0.0,0.0,2.7,3.78
2023,1,1,5,30,0.0,0.0,0.0,2.7,3.78
2023,1,1,5,45,0.0,0.0,0.0,2.7,3.78
2023,1,1,6,0,0.0,0.0,0.0,2.0,3.98
2023,1,1,6,15,0.0,0.0,0.0,2.0,3.98
2023,1,1,6,30,0.0,0.0,0.0,2.0,3.98
2023,1,1,6,45,2.0,0.0,2.0,2.0,3.98
2023,1,1,7,0,18.4,0.1,18.4,1.3,4.17
2023,1,1,7,15,41.4,0.2,41.3,1.3,4.17
2023,1,1,7,30,26.9,0.0,26.9,1.3,4.17
2023,1,1,7,45,29.3,2.9,28.7,1.3,4.17
2023,1,1,8,0,116.3,42.5,106.3,3.8,2.69
2023,1,1,8,15,173.3,101.3,145.1,3.8,2.69
2023,1,1,8,30,287.5,615.8,94.4,3.8,2.69
2023,1,1,8,45,356.7,801.5,78.2,3.8,2.69
2023,1,1,9,0,399.0,829.3,82.7,7.7,2.14
2023,1,1,9,15,438.4,851.5,86.8,7.7,2.14
2023,1,1,9,30,474.7,869.7,90.5,7.7,2.14
2023,1,1,9,45,507.6,884.7,93.8,7.7,2.14
2023,1,1,10,0,536.9,896.9,96.7,11.5,1.59
2023,1,1,10,15,562.5,906.7,99.2,11.5,1.59
2023,1,1,10,30,584.2,914.4,101.4,11.5,1.59
2023,1,1,10,45,601.9,920.1,103.2,11.5,1.59
2023,1,1,11,0,615.4,924.1,104.8,13.2,0.69
2023,1,1,11,15,624.7,926.4,106.0,13.2,0.69
2023,1,1,11,30,629.8,927.1,106.9,13.2,0.69
2023,1,1,11,45,630.7,926.2,107.5,13.2,0.69
2023,1,1,12,0,627.1,923.0,108.0,14.3,0.28
2023,1,1,12,15,619.1,917.4,108.6,14.3,0.28
2023,1,1,12,30,606.8,910.0,108.7,14.3,0.28
2023,1,1,12,45,590.4,900.8,108.5,14.3,0.28
2023,1,1,13,0,570.0,889.5,107.9,15.2,0.97
2023,1,1,13,15,545.5,876.1,106.8,15.2,0.97
2023,1,1,13,30,517.3,860.3,105.1,15.2,0.97
2023,1,1,13,45,476.3,803.0,111.0,15.2,0.97
2023,1,1,14,0,332.1,298.5,203.5,15.7,1.31
2023,1,1,14,15,259.5,101.1,219.3,15.7,1.31
2023,1,1,14,30,247.3,141.0,196.1,15.7,1.31
2023,1,1,14,45,230.0,110.0,193.7,15.7,1.31
2023,1,1,15,0,191.7,55.7,175.4,15.9,1.52
2023,1,1,15,15,156.7,31.1,148.8,15.9,1.52
2023,1,1,15,30,127.0,25.1,121.8,15.9,1.52
2023,1,1,15,45,106.0,87.9,91.9,15.9,1.52
2023,1,1,16,0,83.5,297.1,48.1,15.7,1.59
2023,1,1,16,15,45.2,232.1,27.4,15.7,1.59
2023,1,1,16,30,12.1,61.8,9.7,15.7,1.59
2023,1,1,16,45,0.0,0.0,0.0,15.7,1.59
2023,1,1,17,0,0.0,0.0,0.0,14.7,1.93
2023,1,1,17,15,0.0,0.0,0.0,14.7,1.93
2023,1,1,17,30,0.0,0.0,0.0,14.7,1.93
2023,1,1,17,45,0.0,0.0,0.0,14.7,1.93
2023,1,1,18,0,0.0,0.0,0.0,13.2,2.34
2023,1,1,18,15,0.0,0.0,0.0,13.2,2.34
2023,1,1,18,30,0.0,0.0,0.0,13.2,2.34
2023,1,1,18,45,0.0,0.0,0.0,13.2,2.34
2023,1,1,19,0,0.0,0.0,0.0,11.9,2.9
2023,1,1,19,15,0.0,0.0,0.0,11.9,2.9
2023,1,1,19,30,0.0,0.0,0.0,11.9,2.9
2023,1,1,19,45,0.0,0.0,0.0,11.9,2.9
2023,1,1,20,0,0.0,0.0,0.0,10.7,3.03
2023,1,1,20,15,0.0,0.0,0.0,10.7,3.03
2023,1,1,20,30,0.0,0.0,0.0,10.7,3.03
2023,1,1,20,45,0.0,0.0,0.0,10.7,3.03
2023,1,1,21,0,0.0,0.0,0.0,9.7,3.1
2023,1,1,21,15,0.0,0.0,0.0,9.7,3.1
2023,1,1,21,30,0.0,0.0,0.0,9.7,3.1
2023,1,1,21,45,0.0,0.0,0.0,9.7,3.1
2023,1,1,22,0,0.0,0.0,0.0,8.7,3.17
2023,1,1,22,15,0.0,0.0,0.0,8.7,3.17
2023,1,1,22,30,0.0,0.0,0.0,8.7,3.17
2023,1,1,22,45,0.0,0.0,0.0,8.7,3.17
2023,1,1,23,0,0.0,0.0,0.0,7.9,3.31
2023,1,1,23,15,0.0,0.0,0.0,7.9,3.31
2023,1,1,23,30,0.0,0.0,0.0,7.9,3.31
2023,1,1,23,45,0.0,0.0,0.0,7.9,3.31
2023,1,2,0,0,0.0,0.0,0.0,7.2,3.52
2023,1,2,0,15,0.0,0.0,0.0,7.2,3.52
2023,1,2,0,30,0.0,0.0,0.0,7.2,3.52
2023,1,2,0,45,0.0,0.0,0.0,7.2,3.52
2023,1,2,1,0,0.0,0.0,0.0,6.6,3.72
2023,1,2,1,15,0.0,0.0,0.0,6.6,3.72
2023,1,2,1,30,0.0,0.0,0.0,6.6,3.72
2023,1,2,1,45,0.0,0.0,0.0,6.6,3.72
2023,1,2,2,0,0.0,0.0,0.0,6.1,3.93
2023,1,2,2,15,0.0,0.0,0.0,6.1,3.93
2023,1,2,2,30,0.0,0.0,0.0,6.1,3.93
2023,1,2,2,45,0.0,0.0,0.0,6.1,3.93
2023,1,2,3,0,0.0,0.0,0.0,5.8,4.07
2023,1,2,3,15,0.0,0.0,0.0,5.8,4.07
2023,1,2,3,30,0.0,0.0,0.0,5.8,4.07
2023,1,2,3,45,0.0,0.0,0.0,5.8,4.07
2023,1,2,4,0,0.0,0.0,0.0,5.4,4.07
2023,1,2,4,15,0.0,0.0,0.0,5.4,4.07
2023,1,2,4,30,0.0,0.0,0.0,5.4,4.07
2023,1,2,4,45,0.0,0.0,0.0,5.4,4.07
2023,1,2,5,0,0.0,0.0,0.0,5.1,4.07
2023,1,2,5,15,0.0,0.0,0.0,5.1,4.07
2023,1,2,5,30,0.0,0.0,0.0,5.1,4.07
2023,1,2,5,45,0.0,0.0,0.0,5.1,4.07
2023,1,2,6,0,0.0,0.0,0.0,4.8,3.93
2023,1,2,6,15,0.0,0.0,0.0,4.8,3.93
2023,1,2,6,30,0.0,0.0,0.0,4.8,3.93
2023,1,2,6,45,0.7,0.0,0.7,4.8,3.93
2023,1,2,7,0,6.2,0.0,6.2,4.7,3.72
2023,1,2,7,15,14.6,0.0,14.6,4.7,3.72
2023,1,2,7,30,20.1,0.4,20.1,4.7,3.72
2023,1,2,7,45,80.0,9.4,78.1,4.7,3.72
2023,1,2,8,0,131.0,44.4,120.6,5.9,3.45
2023,1,2,8,15,154.4,62.3,137.0,5.9,3.45
2023,1,2,8,30,269.2,523.5,105.2,5.9,3.45
2023,1,2,8,45,277.6,366.4,151.3,5.9,3.45
2023,1,2,9,0,276.9,218.7,193.6,9.4,3.24
2023,1,2,9,15,308.0,235.0,210.9,9.4,3.24
2023,1,2,9,30,336.1,174.3,259.2,9.4,3.24
2023,1,2,9,45,333.6,141.6,267.3,9.4,3.24
2023,1,2,10,0,340.2,133.2,274.7,13.0,3.17
2023,1,2,10,15,404.1,276.7,262.4,13.0,3.17
