time,G(i),H_sun,T2m,WS10m,Int
20200101:0009,0.0,0.0,5.86,1.31,0.0
20200101:0109,0.0,0.0,3.57,1.86,0.0
20200101:0209,0.0,0.0,1.75,2.62,0.0
20200101:0309,0.0,0.0,1.0,3.24,0.0
20200101:0409,0.0,0.0,-0.03,3.38,0.0
20200101:0509,0.0,0.0,-0.53,3.31,0.0
20200101:0609,0.0,0.0,-0.96,3.24,0.0
20200101:0709,19.01,3.34,-1.4,3.17,0.0
20200101:0809,456.43,13.75,0.01,2.83,0.0
20200101:0909,686.34,22.74,4.59,2.76,0.0
20200101:1009,858.69,29.66,8.57,3.17,0.0
20200101:1109,946.24,33.72,10.45,3.66,0.0
20200101:1209,950.59,34.28,11.45,3.86,0.0
20200101:1309,858.37,31.24,12.18,4.28,0.0
20200101:1409,704.63,25.11,12.62,4.48,0.0
20200101:1509,507.18,16.67,12.7,4.41,0.0
20200101:1609,240.88,6.64,12.42,4.0,0.0
20200101:1709,0.0,0.0,11.17,3.1,0.0
20200101:1809,0.0,0.0,9.82,3.03,0.0
20200101:1909,0.0,0.0,8.78,3.03,0.0
20200101:2009,0.0,0.0,7.73,3.17,0.0
20200101:2109,0.0,0.0,6.75,3.31,0.0
20200101:2209,0.0,0.0,5.82,3.45,0.0
20200101:2309,0.0,0.0,4.99,3.59,0.0
20200102:0009,0.0,0.0,4.2,3.72,0.0
20200102:0109,0.0,0.0,3.43,3.66,0.0
20200102:0209,0.0,0.0,2.7,3.52,0.0
20200102:0309,0.0,0.0,2.09,3.38,0.0
20200102:0409,0.0,0.0,1.62,3.24,0.0
20200102:0509,0.0,0.0,1.29,3.24,0.0
20200102:0609,0.0,0.0,1.03,3.31,0.0
20200102:0709,18.1,3.31,0.69,3.38,0.0
20200102:0809,460.71,13.74,1.58,2.9,0.0
20200102:0909,693.09,22.75,5.17,2.55,0.0
20200102:1009,859.34,29.7,8.15,2.83,0.0
20200102:1109,932.86,33.78,9.89,3.1,0.0
20200102:1209,960.86,34.37,11.08,3.03,0.0
20200102:1309,867.45,31.36,11.87,2.76,0.0
20200102:1409,721.26,25.24,12.27,2.41,0.0
20200102:1509,510.68,16.81,12.32,2.14,0.0
20200102:1609,258.77,6.77,12.03,1.93,0.0
20200102:1709,0.0,0.0,11.13,1.93,0.0
20200102:1809,0.0,0.0,10.04,2.07,0.0
20200102:1909,0.0,0.0,8.81,2.14,0.0
20200102:2009,0.0,0.0,7.6,1.72,0.0
20200102:2109,0.0,0.0,7.02,1.1,0.0
20200102:2209,0.0,0.0,7.34,0.69,0.0
20200102:2309,0.0,0.0,6.91,0.9,0.0
20200103:0009,0.0,0.0,5.06,1.52,0.0
20200103:0109,0.0,0.0,3.3,2.14,0.0
20200103:0209,0.0,0.0,2.13,2.55,0.0
20200103:0309,0.0,0.0,1.55,2.97,0.0
20200103:0409,0.0,0.0,0.76,3.24,0.0
20200103:0509,0.0,0.0,-0.11,3.31,0.0
20200103:0609,0.0,0.0,-0.76,3.31,0.0
20200103:0709,19.01,3.28,-1.28,3.38,0.0
20200103:0809,455.31,13.73,0.23,3.03,0.0
20200103:0909,703.62,22.77,4.28,2.55,0.0
20200103:1009,863.8,29.74,8.48,2.07,0.0
20200103:1109,953.62,33.86,10.92,1.66,0.0
20200103:1209,974.52,34.48,12.23,1.31,0.0
20200103:1309,873.98,31.48,13.21,1.45,0.0
20200103:1409,713.9,25.37,13.88,1.79,0.0
20200103:1509,521.34,16.95,14.19,2.14,0.0
20200103:1609,267.11,6.91,13.97,2.28,0.0
20200103:1709,0.0,0.0,12.64,2.55,0.0
20200103:1809,0.0,0.0,10.8,2.97,0.0
20200103:1909,0.0,0.0,9.77,3.1,0.0
20200103:2009,0.0,0.0,8.57,3.45,0.0
20200103:2109,0.0,0.0,7.57,3.79,0.0
20200103:2209,0.0,0.0,6.72,4.0,0.0
20200103:2309,0.0,0.0,5.96,4.14,0.0
20200104:0009,0.0,0.0,5.27,4.28,0.0
20200104:0109,0.0,0.0,4.61,4.34,0.0
20200104:0209,0.0,0.0,4.02,4.34,0.0
20200104:0309,0.0,0.0,3.46,4.34,0.0
20200104:0409,0.0,0.0,2.98,4.34,0.0
20200104:0509,0.0,0.0,2.55,4.34,0.0
20200104:0609,0.0,0.0,2.18,4.28,0.0
20200104:0709,19.01,3.27,1.65,4.0,0.0
20200104:0809,452.14,13.73,2.82,3.45,0.0
20200104:0909,698.61,22.79,6.52,2.69,0.0
20200104:1009,860.32,29.79,10.8,2.0,0.0
20200104:1109,941.92,33.94,13.46,1.38,0.0
20200104:1209,972.76,34.59,14.8,0.69,0.0
20200104:1309,872.07,31.61,15.64,0.34,0.0
20200104:1409,725.98,25.51,16.18,0.48,0.0
20200104:1509,532.25,17.09,16.35,0.69,0.0
20200104:1609,266.35,7.05,16.12,1.03,0.0
20200104:1709,0.0,0.0,15.11,1.59,0.0
20200104:1809,0.0,0.0,13.63,1.66,0.0
20200104:1909,0.0,0.0,11.98,1.66,0.0
20200104:2009,0.0,0.0,10.66,1.24,0.0
20200104:2109,0.0,0.0,10.63,0.83,0.0
20200104:2209,0.0,0.0,10.15,1.1,0.0
20200104:2309,0.0,0.0,8.3,1.59,0.0
20200105:0009,0.0,0.0,6.85,2.07,0.0
20200105:0109,0.0,0.0,5.54,2.55,0.0
20200105:0209,0.0,0.0,4.63,2.76,0.0
20200105:0309,0.0,0.0,3.88,2.83,0.0
20200105:0409,0.0,0.0,3.21,3.03,0.0
20200105:0509,0.0,0.0,2.79,3.38,0.0
20200105:0609,0.0,0.0,2.37,3.59,0.0
20200105:0709,17.2,3.25,1.88,3.38,0.0
20200105:0809,469.1,13.73,2.8,2.97,0.0
20200105:0909,718.19,22.82,6.61,2.34,0.0
20200105:1009,909.33,29.85,10.63,2.34,0.0
20200105:1109,940.15,34.03,12.36,2.34,0.0
20200105:1209,977.61,34.7,13.52,2.55,0.0
20200105:1309,885.92,31.74,14.32,3.03,0.0
20200105:1409,738.42,25.66,14.75,3.45,0.0
20200105:1509,532.88,17.23,14.75,3.59,0.0
20200105:1609,258.82,7.2,14.29,3.31,0.0
20200105:1709,0.0,0.0,12.93,2.48,0.0
20200105:1809,0.0,0.0,11.56,2.41,0.0
20200105:1909,0.0,0.0,10.37,2.34,0.0
20200105:2009,0.0,0.0,9.22,2.21,0.0
20200105:2109,0.0,0.0,7.96,1.79,0.0
20200105:2209,0.0,0.0,7.57,1.17,0.0
20200105:2309,0.0,0.0,8.06,0.62,0.0
20200106:0009,0.0,0.0,7.68,0.9,0.0
20200106:0109,0.0,0.0,5.61,1.59,0.0
20200106:0209,0.0,0.0,3.67,2.62,0.0
20200106:0309,0.0,0.0,3.09,3.1,0.0
20200106:0409,0.0,0.0,2.56,3.24,0.0
20200106:0509,0.0,0.0,2.21,3.45,0.0
