time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,9.13,44.97,0.0,0.0,0.0,260.41,4.47,37.0,99176.0
20130101:0100,8.34,46.94,0.0,0.0,0.0,259.31,4.36,40.0,99137.0
20130101:0200,7.56,48.92,0.0,0.0,0.0,258.21,4.25,44.0,99089.0
20130101:0300,6.77,50.9,0.0,0.0,0.0,257.11,4.14,45.0,99031.0
20130101:0400,5.99,52.87,0.0,0.0,0.0,256.01,4.03,47.0,99011.0
20130101:0500,5.2,54.85,0.0,0.0,0.0,254.91,3.92,50.0,98982.0
20130101:0600,4.42,56.83,0.0,0.0,0.0,253.81,3.81,52.0,99001.0
20130101:0700,3.63,58.8,26.0,321.89,12.0,252.71,3.7,53.0,99040.0
20130101:0800,4.46,57.15,225.0,676.32,64.0,252.8,3.1,54.0,99108.0
20130101:0900,7.34,46.65,419.0,807.07,93.0,256.0,2.69,53.0,99166.0
20130101:1000,10.34,38.05,580.0,913.5,96.0,262.0,2.34,42.0,99157.0
20130101:1100,12.87,32.3,674.0,932.2,108.0,273.0,2.21,28.0,99108.0
20130101:1200,14.77,28.6,680.0,838.8,151.0,289.6,2.34,20.0,99011.0
20130101:1300,15.96,26.25,582.0,592.92,227.0,301.2,2.55,26.0,98904.0
20130101:1400,16.57,24.8,402.0,276.51,260.0,309.0,2.9,22.0,98817.0
20130101:1500,16.71,24.3,350.0,546.09,142.0,310.0,3.52,11.0,98817.0
20130101:1600,16.53,24.7,190.0,633.85,57.0,295.0,3.86,13.0,98808.0
20130101:1700,15.65,26.35,0.0,0.0,0.0,277.2,3.38,12.0,98808.0
20130101:1800,13.95,29.8,0.0,0.0,0.0,271.6,3.72,6.0,98856.0
20130101:1900,13.14,32.2,0.0,0.0,0.0,271.4,4.48,5.0,98895.0
20130101:2000,12.11,35.2,0.0,0.0,0.0,269.0,4.62,10.0,98924.0
20130101:2100,11.23,37.95,0.0,0.0,0.0,268.6,4.69,16.0,98982.0
