time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,6.19,66.03,0.0,0.0,0.0,256.58,2.82,306.0,96800.0
20120101:0100,5.49,69.15,0.0,0.0,0.0,255.64,3.01,315.0,96753.0
20120101:0200,4.8,72.26,0.0,0.0,0.0,254.7,3.21,323.0,96753.0
20120101:0300,4.1,75.38,0.0,0.0,0.0,253.77,3.4,328.0,96725.0
20120101:0400,3.4,78.5,0.0,0.0,0.0,252.83,3.59,331.0,96687.0
20120101:0500,2.71,81.62,0.0,0.0,0.0,251.89,3.78,333.0,96725.0
20120101:0600,2.01,84.74,0.0,0.0,0.0,250.95,3.98,334.0,96772.0
20120101:0700,1.31,87.85,17.0,0.0,17.0,250.01,4.17,332.0,96800.0
20120101:0800,3.75,78.75,217.0,605.94,73.0,252.4,2.69,331.0,96866.0
20120101:0900,7.67,59.65,397.0,796.73,89.0,257.0,2.14,335.0,96923.0
20120101:1000,11.46,44.55,525.0,842.66,108.0,263.2,1.59,346.0,96951.0
20120101:1100,13.19,36.75,599.0,870.1,116.0,270.6,0.69,356.0,96876.0
20120101:1200,14.28,31.75,609.0,873.55,117.0,275.8,0.28,242.0,96791.0
20120101:1300,15.15,28.4,556.0,867.66,106.0,278.2,0.97,219.0,96716.0
20120101:1400,15.71,26.45,438.0,798.77,99.0,279.2,1.31,215.0,96650.0
20120101:1500,15.91,25.65,278.0,724.89,70.0,279.0,1.52,210.0,96650.0
20120101:1600,15.73,25.85,90.0,493.02,33.0,277.0,1.59,203.0,96669.0
20120101:1700,14.72,28.5,0.0,0.0,0.0,273.8,1.93,188.0,96697.0
20120101:1800,13.19,32.2,0.0,0.0,0.0,272.2,2.34,193.0,96753.0
20120101:1900,11.88,36.15,0.0,0.0,0.0,272.2,2.9,194.0,96791.0
20120101:2000,10.74,39.15,0.0,0.0,0.0,270.2,3.03,208.0,96857.0
20120101:2100,9.68,42.25,0.0,0.0,0.0,268.8,3.1,224.0,96866.0
20120101:2200,8.71,45.45,0.0,0.0,0.0,267.4,3.17,238.0,96876.0
20120101:2300,7.86,48.9,0.0,0.0,0.0,265.8,3.31,248.0,96885.0
20120102:0000,7.15,52.4,0.0,0.0,0.0,264.8,3.52,256.0,96885.0
20120102:0100,6.6,55.65,0.0,0.0,0.0,263.6,3.72,264.0,96885.0
20120102:0200,6.14,58.95,0.0,0.0,0.0,262.6,3.93,273.0,96847.0
